"TIME","GEO","AGE","UNIT","Value"
"2018","UE-27","From 65 to 74 years","Average","29.1"
"2018","Belgium","From 65 to 74 years","Average","22.0"
"2018","Bulgaria","From 65 to 74 years","Average","24.6"
"2018","Czechia","From 65 to 74 years","Average","15.3"
"2018","Denmark","From 65 to 74 years","Average","3.8"
"2018","Germany","From 65 to 74 years","Average","35.9"
"2018","Estonia","From 65 to 74 years","Average","0.1"
"2018","Ireland","From 65 to 74 years","Average","28.4"
"2018","Greece","From 65 to 74 years","Average","24.5"
"2018","Spain","From 65 to 74 years","Average","31.2"
"2018","France","From 65 to 74 years","Average","28.3"
"2018","Croatia","From 65 to 74 years","Average","22.5"
"2018","Italy","From 65 to 74 years","Average","33.9"
"2018","Cyprus","From 65 to 74 years","Average","33.4"
"2018","Latvia","From 65 to 74 years","Average","18.0"
"2018","Lithuania","From 65 to 74 years","Average","15.7"
"2018","Luxembourg","From 65 to 74 years","Average","42.9"
"2018","Hungary","From 65 to 74 years","Average","16.9"
"2018","Malta","From 65 to 74 years","Average","43.4"
"2018","Netherlands","From 65 to 74 years","Average","44.3"
"2018","Austria","From 65 to 74 years","Average","38.8"
"2018","Poland","From 65 to 74 years","Average","19.5"
"2018","Portugal","From 65 to 74 years","Average","26.6"
"2018","Romania","From 65 to 74 years","Average","25.3"
"2018","Slovenia","From 65 to 74 years","Average","11.3"
"2018","Slovakia","From 65 to 74 years","Average","9.4"
"2018","Finland","From 65 to 74 years","Average","22.6"
"2018","Sweden","From 65 to 74 years","Average","26.8"
"2018","Iceland","From 65 to 74 years","Average","9.2"
"2018","Norway","From 65 to 74 years","Average","25.9"
"2018","Switzerland","From 65 to 74 years","Average","32.0"
"2018","United Kingdom","From 65 to 74 years","Average","32.3"
"2018","Montenegro","From 65 to 74 years","Average","23.9"
"2018","North Macedonia","From 65 to 74 years","Average","20.7"
"2018","Albania","From 65 to 74 years","Average",":"
"2018","Serbia","From 65 to 74 years","Average","18.3"
"2018","Turkey","From 65 to 74 years","Average","23.3"
"2018","Kosovo","From 65 to 74 years","Average","42.0"
